time,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
07/30/2022 00:00:00,95537.051396,95957.521645,94163.841482,91835.092425,88664.507233,84574.603543,79981.724947,74941.936029,69824.879322,68034.428207,66973.643619,66950.703942,65749.634089,67206.206149,72534.641615,78499.928912,83669.856002,87890.180868,91089.424094,93376.131537
07/31/2022 00:00:00,95523.397948,95946.933804,94150.580043,91827.152266,88662.146325,84573.857788,79982.068468,74940.769369,69823.799456,68014.14181,66958.824195,66941.353701,65738.045212,67210.781906,72541.308693,78499.503241,83663.89811,87877.505881,91074.965456,93364.162601
08/01/2022 00:00:00,95509.743574,95936.358719,94137.318863,91819.204578,88659.784888,84573.118205,79982.412566,74939.598463,69822.680773,67993.858391,66944.012319,66932.10415,65726.337268,67215.504589,72547.977591,78499.081956,83657.945637,87864.833303,91060.506996,93352.194006
08/02/2022 00:00:00,95496.088271,95925.796493,94124.057944,91811.249354,88657.422918,84572.38479,79982.757242,74938.423303,69821.52333,67973.577953,66929.208002,66922.955279,65714.509097,67220.374653,72554.648281,78498.665038,83651.998586,87852.163135,91046.048715,93340.225751
08/03/2022 00:00:00,95482.432039,95915.247228,94110.797285,91803.286589,88655.060417,84571.657541,79983.105858,74937.243882,69820.327187,67953.300498,66914.411251,66913.907077,65702.55952,67225.392556,72561.320736,78498.252469,83646.039596,87839.495375,91031.590612,93328.257836
08/04/2022 00:00:00,95468.774876,95904.711028,94097.536887,91795.316276,88652.697382,84570.936455,79983.455368,74936.060195,69819.0924,67933.026029,66899.675207,66904.959532,65690.487349,67230.55876,72568.224508,78497.844231,83640.061597,87826.830024,91017.132689,93316.290262
08/05/2022 00:00:00,95455.116779,95894.187999,94084.276749,91787.33841,88650.333813,84570.221529,79983.805399,74934.872234,69817.819028,67912.754549,66885.122367,66896.112634,65678.291374,67235.873732,72575.268266,78497.440305,83634.167951,87814.16708,91002.674947,93304.323029
08/06/2022 00:00:00,95441.447988,95883.678247,94071.016872,91779.352984,88647.969708,84569.512761,79984.155951,74933.679994,69816.507128,67892.48606,66870.582131,66886.689302,65665.970373,67241.41964,72582.306492,78497.040673,83628.28299,87801.506543,90988.217386,93292.356136
08/07/2022 00:00:00,95427.742949,95873.18188,94057.757256,91771.359995,88645.605067,84568.810148,79984.507027,74932.483468,69815.156759,67872.220565,66856.05451,66876.970575,65653.523108,67247.341882,72589.339117,78496.645316,83622.400755,87788.848412,90973.760006,93280.389585
08/08/2022 00:00:00,95414.037968,95862.699005,94044.497901,91763.359434,88643.239889,84568.113687,79984.858629,74931.282649,69813.767978,67851.958067,66841.539514,66867.330654,65641.070357,67253.403964,72596.366072,78496.254217,83616.521244,87776.199635,90959.302808,93268.423374
08/09/2022 00:00:00,95400.333047,95852.229734,94031.238807,91755.351298,88640.874172,84567.423376,79985.210758,74930.081975,69812.340845,67831.698567,66827.037154,66857.769558,65628.549876,67259.606457,72603.387287,78495.867356,83610.644454,87763.561341,90944.845793,93256.457505
08/10/2022 00:00:00,95386.628186,95841.774176,94017.979974,91747.335579,88638.507916,84566.739213,79985.563416,74928.977109,69810.875417,67811.442069,66812.547439,66848.287301,65615.897181,67265.949935,72610.402692,78495.484716,83604.770384,87750.925114,90930.388962,93244.491977
