,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
40,96460.14116133332,96640.12026866667,94980.51337666665,92187.62800099999,88668.37384666667,84593.10276433332,79947.711458,75042.604887,69839.10649433333,69028.65663333333,67377.612745,66856.505688,66017.96105433333,67609.592229,72150.73240766667,78543.25737866666,84076.65670699999,88724.93326333333,92029.71213433333,94172.76508533333
41,96467.607366,96648.44410233333,94990.63888033332,92196.42231533334,88674.52857633332,84595.25539833335,79947.90557833335,75042.48251533334,69840.853016,69052.548219,67406.73985066667,66892.24377900001,66032.13273800001,67601.63247066666,72146.33226833334,78543.94175833334,84080.630418,88733.13910233334,92039.07544233334,94180.07426333334
42,96475.07358766666,96656.76714999999,95000.76635366667,92205.21768566668,88680.68399133334,84597.40834566666,79948.100108,75042.35614766665,69842.57310833332,69076.43317533332,67435.795306,66927.484714,66047.590338,67593.764929,72141.90886133333,78544.63488333333,84084.601485,88741.34852433333,92048.446954,94187.38356166666
43,96482.53982666666,96665.08941466665,95010.89578766667,92214.01411166666,88686.84009133333,84599.56160633334,79948.295046,75042.22580999999,69844.266828,69100.31150566666,67464.77937533334,66962.82327566667,66063.32596500001,67585.989703,72137.46228666666,78545.34036766666,84088.56990433334,88749.56152866666,92057.82668233333,94194.69298066666
44,96490.00608266667,96673.41089900001,95021.027174,92222.81159266667,88692.996876,84601.71518033333,79948.49039166667,75042.091528,69845.93423200001,69124.18321366666,67493.69232233333,66998.31477,66079.341423,67578.31923066668,72132.99264499999,78546.05794233333,84092.53567166667,88757.778115,92067.21464,94202.00251966667
45,96497.47235566664,96681.731606,95031.16050366666,92231.61012866667,88699.15434533334,84603.86906733333,79948.68614433333,75041.95332666667,69847.57537733334,69148.04830333333,67522.53440866666,67033.95895233333,66095.63853233334,67570.77646566667,72128.500037,78546.78583300002,84096.49878366666,88765.99828300001,92076.61083933333,94209.31217933334
46,96504.93864566665,96690.05153866667,95041.29576833332,92240.40971866665,88705.31249899999,84606.02326766668,79948.88230333333,75041.811232,69849.19032066666,69171.906778,67551.96069566667,67069.75557866668,66112.21912966667,67563.35870433332,72123.984564,78547.52020500001,84100.45923600001,88774.22203233333,92086.01529299999,94216.621959
47,96512.40495266666,96698.37069966667,95051.432959,92249.21036233334,88711.47133700001,84608.17778133333,79949.078868,75041.66526833334,69850.77911866666,69195.75864133333,67582.18889966667,67105.70440500001,66129.08506833333,67556.08074033335,72119.44632666667,78548.26110300001,84104.41702500002,88782.44936266665,92095.42801366666,94223.93185933334
48,96519.87127666666,96706.689092,95061.57206766668,92258.01205866667,88717.63085899998,84610.33260833334,79949.27583766666,75041.51546133333,69852.34182799999,69219.60389666667,67613.227396,67141.805189,66146.23821800001,67548.95083500001,72114.88542699999,78549.008571,84108.37214666666,88790.68027366667,92104.84901466667,94231.24187966668
49,96527.33761766665,96715.00671833334,95071.71308566666,92266.81480766665,88723.79106533334,84612.48774833333,79949.47321166667,75041.361835,69853.88884133333,69243.442548,67644.42971433334,67178.05768733333,66163.68046566668,67541.97038333333,72110.301967,78549.76265366666,84112.324597,88798.91476533333,92114.27830833335,94238.55202033334
